stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Radial_glia
72hpf,0,0,0,1.07,1.07,14.98,1.07
21Day,1.34,0,0,0,1.34,6.69,0
3Month,0,0,0.32,0,0,0,0
22Month,0,1.64,0,0,0,0,0
