stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,4.28,12.84,0,0,0,0,0,0,1.07,12.84,0,0,0,0,3.21,0,0,0,0,0,0,0,0
21Day,0,0,25.43,1.34,2.68,0,0,0,0,0,0,14.72,1.34,0,0,0,2.68,0,0,0,1.34,0,0,0,0
3Month,0.32,0.32,25.6,0.64,18.56,0,4.8,1.6,0.32,19.2,1.92,2.24,0.96,0.96,0.32,0.96,0.32,0,0.96,0.32,0,0.32,0.32,0.96,0.96
22Month,0.55,0,7.11,0.55,4.37,0.55,7.65,1.64,0,10.39,0,1.64,1.09,0.55,0,0,0,0,0.55,0,0,0,0,0,0
