stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,4.09,0,0,0,40.86,98.07,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,32.09,4.28,0,21.4,10.7,26.74,0,0,0,2.14,2.14,0,1.07,0,16.05,34.23,9.63,25.67,0,59.91,0,2943,143.35,5.35,4.28,0,32.09,5.35,2.14,14.98,3.21,5.35,3.21,0,0,0
21Day,8.03,0,1.34,12.05,2.68,24.09,0,0,0,0,17.4,0,5.35,2.68,0,8.03,2.68,10.71,0,0,0,639.82,26.77,12.05,4.02,0,8.03,18.74,4.02,1.34,5.35,5.35,2.68,0,0,4.02
3Month,0.32,0.64,0,4.8,0.32,0,0.32,0.32,0.32,0,31.67,1.6,0,0.96,0.96,2.24,1.6,14.4,0.96,0,0.32,3.84,0.96,7.36,0,0,0.64,2.24,66.87,0,0,0,2.24,0.32,26.24,2.56
22Month,0.55,1.64,4.92,3.28,0.55,0,2.19,14.21,7.11,2.73,1288.47,1.09,0.55,5.47,0.55,0.55,3.83,37.17,2.73,12.03,2.19,12.57,0,34.99,1.64,7.11,0,0.55,60.68,1.09,3.28,0,1.09,0,0,2.19
