stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,2.14,2.14,0,0,0,0,0,2.14,1.07,0,0,0,0,0
21Day,0,10.71,1.34,0,0,0,0,1.34,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.32,16.32,0,0.32,0.64,3.2,0.96,0.64,0.32,0.64,5.12,0.32,0.64,0.64,0.32,0.32,0,0,0,0.32,1.92,6.08,5.76
22Month,0,5.47,0,0.55,2.73,3.83,0.55,0,0.55,0.55,1.09,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0.55
