stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,T_cell
72hpf,0,0,4.28,1.07,1.07,0,0,1.07,5.35,6.42,1.07,1.07,0,0,0,0
21Day,1.34,1.34,17.4,0,2.68,0,0,0,8.03,9.37,0,0,1.34,1.34,0,0
3Month,0,0,2.56,0,0,0.32,0.32,0,0,0,0,0,0.32,0,0.32,0.32
