stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,4.09,0,8.17,4.09,0
72hpf,1.07,0,0,0,0,0,1.07,26.74,0,0
21Day,0,0,0,0,0,0,0,6.69,2.68,0
3Month,0,0.64,0.32,0.64,0.32,0,0,0.64,0,0.32
22Month,0,0,0,1.09,0,0,0,0,0,0.55
