stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,0,0,0,0,2.14,0,0,0,0,0,0,0,1.07,0,0,0,6.42,3.21,4.28,0,1.07,0,0
21Day,0,0,0,6.69,1.34,0,0,0,0,2.68,0,1.34,0,1.34,0,0,0,0,0,0,0,0,0
3Month,0.32,0,0.32,11.52,0,0,0.32,2.24,0.96,0.32,0.64,18.56,1.28,0.64,0,0.64,0,0,0,8.32,0.32,2.24,1.28
22Month,0,0.55,0,2.19,0,1.64,1.64,8.2,0,0,1.09,3.28,1.64,1.09,0.55,0,0,0,0,3.83,0,0,0.55
