stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,0,0,0,0,0,24.52,0,0,4.09,0,0,0,0,0,0,0
72hpf,3.21,0,5.35,2.14,0,0,0,0,0,0,0,0,0,0,1.07,10.7,3.21,8.56,0,0,0,0,5.35,9.63,0,0,8.56,1.07,0,5.35,0,0,0,0
21Day,6.69,4.02,12.05,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,17.4,0,0,5.35,0,1.34,0,0,0,2.68,0,0,0,1.34,0,0,0
3Month,0,6.4,23.36,0.32,0,0.32,0.32,0.32,4.8,0,10.88,0.64,0.96,4.16,0.96,6.4,8.96,12.8,3.2,0,0.96,1.6,1.28,0,0.64,0.96,0.64,1.28,7.68,0.96,0,9.6,3.2,0.64
22Month,0,2.19,8.2,0,1.09,0,0,1.09,6.01,0.55,21.32,1.64,0.55,2.19,0.55,0,4.92,7.11,0,0.55,0,0,0.55,0,0,0,0,0,0.55,0.55,0,0.55,0,0
