stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,16.35,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,20.43,12.26,0,0,0,0,32.69,36.78,0,0,12.26,0,0,0,0,0,0
72hpf,1.07,2.14,0,9.63,3.21,0,0,0,0,0,0,0,0,0,1.07,10.7,1.07,11.77,0,0,0,0,5.35,3.21,0,0,16.05,0,0,5.35,0,0,0
21Day,4.02,0,0,4.02,4.02,1.34,0,0,1.34,0,2.68,0,1.34,0,0,4.02,2.68,18.74,0,0,0,0,2.68,2.68,0,0,14.72,0,0,1.34,1.34,0,0
3Month,0,1.6,0.96,12.48,0.32,0,0,1.28,4.48,0.64,8.96,4.8,0.32,3.2,1.92,7.04,5.44,6.72,2.24,0,1.28,0.96,0,0.32,0.64,0.32,0.32,0,2.88,0.64,0,0.96,2.56
22Month,0,0.55,1.09,4.92,0,0,0.55,2.19,4.37,1.64,44.28,6.01,0,4.92,0,1.64,6.01,8.75,0,2.19,0,0,0.55,0,0,0,0,0.55,1.64,0.55,0,0,3.28
