stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,26.74,0,0,0,0,0,0,0,0,0,0,0,2.14,9.63,0,3.21,0,0,0,2.14,6.42,11.77,0,1.07,0,0,1.07,1.07,0,2.14,0,0,0
21Day,1.34,0,0,91.02,0,5.35,0,1.34,21.42,1.34,0,5.35,0,5.35,13.39,0,9.37,0,9.37,0,2.68,0,0,6.69,0,2.68,0,2.68,4.02,1.34,0,1.34,0,0,0,1.34
3Month,0.32,1.92,7.36,236.12,0.32,0,2.24,0,586.15,7.68,0,29.12,5.44,0.96,74.87,3.52,6.4,4.8,6.72,0.32,0.32,16.32,5.44,1.28,0,6.72,0.96,1.92,12.8,0.32,0.32,0,0,2.24,9.92,3.2
22Month,0,1.64,11.48,44.28,0,0,1.09,0,185.86,2.73,1.64,25.15,0,1.09,128.46,1.09,1.09,2.19,6.56,0,1.64,8.2,0,0,0,4.92,0,0.55,3.83,0.55,1.64,0,0,0,0,1.09
