stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,7.49,0,1.07,1.07,6.42,0,0,0
21Day,0,0,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,0,0,1.34,0,0
3Month,0,3.52,0.32,0.64,0,0.64,0,0.64,0,0.64,0.64,0,0,0.64,0.96,0,0,0,0,0,0,1.6,0.32
22Month,0.55,1.09,0,2.73,1.09,6.01,1.09,2.73,0,0,2.73,0.55,1.09,0,2.19,0,0.55,0,0,0,0,0,0.55
