stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,1.07,4.28,0,3.21,0,0,1.07,0,401.17,11.77,0,0,3.21,0,1.07,3.21,2.14,2.14,0,0,0
21Day,2.68,0,5.35,16.06,1.34,17.4,0,1.34,0,0,0,4.02,1.34,5.35,0,5.35,2.68,1.34,9.37,0,0,2.68,0,586.28,8.03,0,0,6.69,18.74,0,4.02,2.68,4.02,0,0,4.02
3Month,0,0.96,0.64,9.28,0,0,0.32,0,1.6,1.92,0,13.76,2.88,0.64,4.48,0.96,3.2,1.92,2.24,0.32,0,0,0.64,4.16,0,0,0.32,0,0.32,24.32,1.92,0,0,0.64,7.04,1.6
22Month,0.55,1.09,0,5.47,0,0,0,0.55,1.09,6.56,0.55,75.98,0.55,2.73,6.56,0,1.64,6.01,23.51,1.09,0.55,1.64,0,30.61,0,1.64,0.55,0,0.55,17.49,3.28,0,0,1.09,0,2.73
