stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,44.95,0,4.09,0,0,0,0,44.95,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,1.07,1.07,0,0,0,0,0,0,0,0,32.09,0,1.07,0,0,0,0,12.84,2.14,0,0,4.28,0,1.07,0,0,0,0
21Day,0,0,0,26.77,0,0,0,0,0,0,0,1.34,0,1.34,36.14,2.68,1.34,0,0,1.34,0,9.37,4.02,0,0,1.34,0,0,1.34,0,0,0
3Month,0,0,0.64,10.24,0,0,3.84,0.64,0,3.2,1.28,0.64,1.28,1.6,9.28,2.56,0.96,0.32,0,1.6,3.84,1.6,0,1.28,0,0,0,0.32,0,0.32,6.72,0.64
22Month,0,0.55,1.64,8.2,0,0,4.37,4.92,1.09,25.69,0,0,1.64,0.55,1.64,2.19,3.28,0,1.64,0.55,0,1.09,0,1.09,0.55,0,0.55,0,0,0,0,1.09
