stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,4.09,8.17,4.09,16.35,0,4.09,102.16,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,1.07,0,1.07,1.07,0,5.35,1.07,10.7,14.98,0,4.28,0,0,1.07,0,0
21Day,1.34,0,8.03,0,0,1.34,0,1.34,0,0,0,0,8.03,1.34,8.03,6.69,1.34,4.02,1.34,0,0,1.34,2.68
3Month,0,0,0.32,0,0,0,0.32,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0
22Month,0,0.55,1.64,0.55,1.09,3.83,1.09,1.09,2.19,0,0.55,0,2.73,0.55,0.55,0,0,0,0,6.56,0,0,1.09
