stage,Enterocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Muscle_cell,Neural_cell,Osteoblast,T_cell
72hpf,0,0,0,0,0,0,2.14,0,0
21Day,1.34,0,0,1.34,0,1.34,2.68,1.34,0
3Month,0,0,0.32,0,0.32,0,0,0,0.32
22Month,0,1.64,0,0,0,0,0,0,0
