stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,4.09,4.09,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,3.21,1.07,0,0,0,0,0,0,0,0,0,0,5.35,18.19,1.07,0,0,0,0,0,6.42,0,1.07,0,2.14,0,0,0,0,0,0,0
21Day,1.34,1.34,2.68,16.06,1.34,0,2.68,0,0,0,0,4.02,0,1.34,1.34,0,6.69,4.02,4.02,0,0,0,1.34,10.71,5.35,1.34,0,0,6.69,0,0,0,0,0,1.34
3Month,0,0.32,2.24,76.15,0.32,0.32,0.32,10.56,3.84,0,0,57.91,7.36,0.96,23.04,9.28,6.08,6.4,8.32,1.92,0.32,2.88,13.44,1.28,0,6.08,0.32,0,1.28,6.4,0.32,0.32,1.28,1.92,7.36
22Month,0,2.19,2.73,19.68,0,0.55,1.09,3.28,6.56,1.64,0,71.07,2.19,3.83,20.77,0,1.64,4.92,7.65,0,1.64,2.19,0,1.64,0,6.01,0.55,0,0,2.73,1.09,0.55,0.55,0,2.73
