stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,5.35,6.42,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,1.34,8.03,1.34,0,4.02,1.34,0,0,0,1.34
3Month,0,0,0.32,0,0,0,0.64,0,0,0,0,0.32,0,0.32,0,0,0,0,0.32,0
22Month,0,0.55,3.83,0.55,0.55,36.08,15.85,6.01,2.19,0.55,1.09,13.67,2.73,0,0,0,0.55,0.55,0,21.87
