stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,7.49,0,0,0,0,0,0,0,3.21,0,0,10.7,11.77,2.14,0,1.07,0,0
21Day,0,6.69,0,1.34,0,0,0,1.34,0,2.68,0,1.34,2.68,4.02,1.34,0,0,0,0
3Month,0,6.08,0.32,0,0,0.64,0.96,0,0.32,1.6,0.32,0.32,0,0,0,0,0,0.32,0.32
22Month,0,2.19,0,0,1.09,1.64,0,0,0,1.09,0,0,0,0,0,0.55,0,0,0
