stage,Cardiomyocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,1.07,0,1.07,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,0.32,0.64,0.32,0.32,0,0,0,6.08,2.24
