stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,65.38,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,3.21,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,10.7,4.28,0,0,0,0,5.35,0,0,0,0,0
21Day,0,0,1.34,4.02,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,0,12.05,4.02,0,0,1.34,4.02,1.34,0,0,0,0,0
3Month,0,0.64,30.08,0.64,0.32,0.32,0.96,2.56,0,21.44,3.52,0.64,6.72,8,3.52,2.24,3.52,0.32,0.64,1.28,3.2,0,0.64,0.32,2.56,34.55,0,0.32,0.32,1.28,590.63,2.56
22Month,1.09,1.09,12.03,0,0,0,0,1.09,1.09,29.52,0,0,2.19,1.64,1.64,4.37,4.37,0,0,0,3.83,0,1.64,0,0,18.59,0.55,0,0,0,1.64,1.09
