stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0
3Month,0,1.28,0.32,1.6,0,0,0,0.64,6.72,0,0,0.32,0.32,0.32,0.32,0.64
22Month,0.55,2.19,0,11.48,0.55,2.19,2.19,0,12.03,0.55,0.55,0,0,0,0,1.09
