stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,16.35,0,0,0,0,0,0,0,12.26,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,290.13,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,7.49,32.09,2.14,0,0,0,0,0,0,0,0,0,0,1.07,6.42,0,1.07,0,0,0,0,16.05,29.95,0,0,0,3.21,4.28,0,1.07,11.77,1.07,0,0,0
21Day,6.69,0,0,6.69,9.37,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,5.35,0,4.02,4.02,0,0,0,0,10.71,0,1.34,5.35,1.34,0,0,0
3Month,0,0.96,0.32,95.02,8.64,0,0,0.32,7.36,2.56,0,0,23.36,1.92,0.64,7.04,8.32,3.2,3.52,1.92,1.6,0,3.84,5.76,1.28,2.88,6.4,0.96,0,0.96,5.12,0.32,66.55,1.6,1.28,2.56,743.24,3.2
22Month,0,0,1.09,44.28,3.83,0,0.55,0,6.01,1.09,1.64,0,23.51,0.55,1.09,1.64,0,2.19,1.09,1.64,0,0.55,0.55,0,0,0,4.37,0,0.55,0,2.19,0,114.8,1.09,0,0,3.83,0.55
