stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,6.42,0,0,0,0,0,1.07,5.35,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,4.02,0,0,0,1.34,0,0,0,9.37,20.08,0,0,0,0,2.68,5.35,0,0,1.34,0,0,1.34,0,1.34,0,0
3Month,0.32,0,0.64,4.16,0.32,1.28,0.64,290.51,0.64,5.44,0.64,1.28,51.83,1.92,1.92,1.6,1.28,0.64,0.64,0.32,0,0,2.56,13.76,0,0,0,14.4,0.64
22Month,0.55,1.09,0,9.29,0,1.64,2.19,232.33,0.55,27.88,1.09,0.55,54.67,2.19,8.2,0.55,0,0,0,1.64,0.55,0,0,1.09,0,2.19,0,0,1.09
