stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,4.28,0,0,0
21Day,1.34,0,0,0,1.34,5.35,0,0,0
22Month,0.55,0.55,0.55,0.55,0,0,0.55,1.09,0.55
