stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,11.77,1.07,0,0
21Day,0,0,1.34,0,0,2.68,0,0,0,0,13.39,0,1.34,0
3Month,0,0,0.32,0.32,0.32,0,0.32,0.64,0.32,0,0,0,0,0.64
22Month,0,1.09,1.09,0.55,8.75,0.55,0,0,0,0.55,0,0,0,0
