stage,Epithelial_cell,Epithelial_cell__Brain_,Immune_cell,Keratinocyte,Macrophage,Pancreatic_cell,T_cell
72hpf,1.07,1.07,0,2.14,0,0,0
21Day,4.02,0,0,4.02,0,0,1.34
3Month,0,0,0.32,0,0,0.32,0
22Month,0,0,0,0.55,1.09,0,0
