stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,16.35,0,0,0,0,0,4.09,0,12.26,0,0,4.09,179.8,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,2.14,1.07,0,2.14,4.28,0,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,1.34,0,0,1.34,2.68,0,0,0
3Month,0,2.24,0.96,0.32,2.88,1.28,0.32,0.96,0.32,1.28,0,0.64,0,0.32,4.48,0.64,0.32
22Month,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0
