stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,4.28,0,2.14,0,0,1.07,4.28,1.07,0,0,2.14,0,0,0,0
21Day,1.34,0,0,36.14,1.34,0,0,2.68,0,0,0,0,18.74,1.34,5.35,0,0,1.34,1.34,0,1.34,0,0,0,0,0,1.34
3Month,0,0.32,0.64,2.56,0,0,0.64,15.36,0.32,0.32,0.32,0,1.6,4.8,1.92,0.64,0,0,0,0,0.32,0,0,0,0.32,0,0.64
22Month,1.09,1.09,0,3.83,0,2.19,6.01,52.48,4.37,0.55,2.73,0.55,1.64,4.37,10.39,0,3.28,0.55,0.55,0,0,1.09,0,0.55,0.55,0.55,0
