stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,65.38,0,4.09,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,4.28,0,0,0,0,0,0,0,0,0,2.14,0,1.07,6.42,0,10.7,0,0,0,37.44,29.95,3.21,1.07,1.07,0,2.14,0,0,0,0
21Day,4.02,1.34,0,10.71,0,8.03,0,5.35,0,0,0,0,0,5.35,0,2.68,2.68,1.34,8.03,0,4.02,0,9.37,5.35,0,2.68,4.02,0,5.35,1.34,0,0,0
3Month,0,0.32,0,4.16,0,0,0,0.32,0.64,0.96,0,8.32,1.6,0.32,3.52,0,2.24,1.92,2.56,0.64,0.32,0.32,0.32,0,0,0,0,5.12,0,0,0.32,0.64,0.64
22Month,0,1.64,0.55,2.73,0.55,0,1.09,0,0,3.28,1.09,33.35,1.09,0,3.28,0,0,0.55,1.09,0,0.55,0,0,0,0,0,0,2.19,0,0,0,0,0.55
