stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,69.47,0,0,0,0,0,0,4.09,0,0,0,0,134.85,0,0,16.35,0,0,0,89.9,0,335.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,20.33,1.07,0,0,0,0,0,0,0,0,0,0,132.65,2.14,0,4.28,0,24.61,0,87.72,11.77,19.26,0,0,0,12.84,25.67,0,0,1.07,0,0,0
21Day,5.35,0,14.72,42.83,1.34,0,0,0,0,0,0,8.03,0,1.34,14.72,16.06,4.02,4.02,5.35,0,0,1.34,44.17,10.71,4.02,0,0,0,0,13.39,0,0,1.34,0,0,0
3Month,0.64,2.24,18.24,202.85,0,1.6,0,50.55,6.08,0,0,208.93,10.24,1.92,92.79,90.55,7.36,22.08,7.04,1.6,0.64,37.75,542.31,1.28,0,7.36,0.96,0,0,6.08,17.6,0,0,2.56,7.04,4.8
22Month,0,3.28,25.15,254.74,0,3.28,0.55,74.89,7.11,2.73,0,887.77,3.83,1.09,157.98,28.97,2.19,8.2,7.65,0,25.15,19.68,43.73,0.55,1.09,10.93,1.64,14.76,0,2.19,29.52,0.55,0,0.55,0,3.83
