stage,Endothelial_cell,Enterocyte,Goblet_cell,Granulocyte,Hepatocyte,Mesenchymal_cell,Primordial_germ_cell,Spermatocyte
3Month,0.32,0.32,0.32,0.32,1.6,0.32,8.32,6.08
22Month,0,0,0,0,2.73,0,6.01,0
