stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,1.07,1.07,0,0,0,0,0,0,0,125.17,0,1.07,0,0,0,3.21,0,0,1.07,0,0,0,0,0
21Day,2.68,0,0,42.83,0,0,0,0,0,0,1.34,1.34,5.35,72.28,1.34,1.34,0,1.34,0,1.34,0,0,0,0,0,0,0,0
3Month,0,0,0,66.55,0,0,2.56,0.32,2.88,0.64,0.96,3.2,2.88,0.64,0.96,0.32,0,0,0.32,0.64,0,0,5.44,0,0.32,0,5.44,1.28
22Month,0,1.09,1.09,25.69,0.55,0,0,0,13.67,0.55,1.09,3.83,1.09,0.55,1.64,2.19,0.55,0,0,1.09,0.55,0.55,0.55,0.55,0,0.55,0,0.55
