stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,4.09,0,0,73.56,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,5.35,1.07,12.84,0,0,3.21,0,1.07,0,0,0,3.21,23.54,1.07,9.63,0,0,1361.84,57.77,1.07,2.14,14.98,2.14,0,7.49,2.14,0,2.14,0
21Day,2.68,1.34,10.71,1.34,13.39,2.68,0,1.34,0,0,1.34,4.02,4.02,1.34,6.69,4.02,13.39,0,0,540.77,9.37,0,2.68,10.71,12.05,0,9.37,1.34,2.68,2.68,2.68
3Month,0,0.32,0.32,0.64,0,0,0.32,0.32,0,1.92,0,0,0,0,0.32,0.96,1.28,0,0.32,5.44,0,0.64,0.64,0,0,1.28,0,0,0,0,0.32
22Month,0,0,0.55,1.09,0,0,0.55,2.19,0.55,5.47,1.09,0,0.55,0,0,2.19,1.09,0.55,0,7.11,0.55,1.64,0,0,0,0,1.09,13.12,0,0,0
