stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,16.35,0,0,0,4.09,0,0,0,0,0,0,12.26,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,25.43,0,0,0,0,0,0,4.02,0,0,2.68,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,1.92,1.92,6.4,0.32,0.32,0,1.92,1.6,2.56,0,0,347.78,0.64,0,6.08,0.32,1.28,2.24,26.88,2.24,0.96,12.8,0.64,0.32,0.32,0.96,1.28,0,0.64,5.76,4.16,0,0,0,0.64,4.8,1.92
22Month,1.09,8.75,8.2,18.04,0,9.29,0.55,0.55,3.28,9.84,4.37,0,6018.67,8.75,1.09,32.25,1.64,2.19,10.39,34.44,2.19,54.12,14.21,0.55,0.55,0,1.64,4.37,4.92,0.55,8.2,4.37,0.55,0.55,0.55,0.55,0,5.47
