stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,44.95,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,3.21,0,0,0,0,0,0,0,0,0,0,1.07,3.21,1.07,13.91,0,0,0,53.49,9.63,0,0,14.98,0,0,2.14,0,0,0,0,0
21Day,0,2.68,0,20.08,2.68,0,2.68,1.34,0,0,0,0,1.34,0,0,4.02,4.02,24.09,0,0,4.02,22.76,2.68,1.34,0,5.35,1.34,0,0,0,1.34,0,0,0
3Month,0.32,2.24,0.32,24.64,0.32,0,0.32,1.92,5.12,0,10.56,4.8,0.32,1.92,0.64,5.76,6.08,9.92,3.2,0,1.28,0.96,0.64,2.56,0.32,0.64,0.32,0.32,0.32,0,0.32,9.28,1.92,3.84
22Month,0,4.92,1.09,12.03,0.55,1.09,0,1.64,14.76,13.12,49.75,2.73,0.55,6.01,1.09,1.64,11.48,15.85,0,0.55,1.64,0.55,1.09,8.2,0,0,0,0,3.28,0.55,0,4.92,0,6.01
