stage,Endothelial_cell,Epithelial_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia
24hpf,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,2.68,0,0,0,0,0,0,4.02,0,1.34,0,2.68,0,0,1.34,0,0
3Month,0,5.44,0,1.28,0.32,0.32,0,0.32,0.32,0,0,0.32,0,0,0.32,0,0.96,0.32
22Month,0,1.09,1.09,3.83,0,0,0.55,0,0.55,0.55,0,0,0,0.55,0,0,0,0
