stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,8.17,40.86,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,1.07,5.35,0,3.21,0,0,0,0,60.98,10.7,0,0,0,3.21,0,0,2.14,0,1.07,0,0
21Day,1.34,0,4.02,0,0,0,0,0,1.34,0,0,0,2.68,0,0,0,0,26.77,2.68,0,0,0,1.34,0,5.35,1.34,1.34,0,0,0
3Month,0.32,0.32,5.12,0,0.32,0.96,3.84,1.28,1.28,0,2.88,1.28,6.08,0.64,0,4.8,0.32,5.44,0.64,0.64,0,0,0.32,0.64,52.47,1.28,0,0.64,20.48,0.64
22Month,0,0,3.28,0.55,0,0.55,11.48,0,2.19,0.55,0,0.55,4.92,0.55,0.55,1.64,0.55,1.64,0,0,0.55,1.64,0,0,42.64,1.64,0.55,0,0,0
