stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,3.21,0,0,0,0,0,1.07,0,0
21Day,0,1.34,2.68,0,0,0,0,0,0,4.02,1.34,0,2.68,1.34,0,0,0,0,2.68,0,0,4.02,0,0,0,5.35
3Month,0.32,0.96,6.08,0.32,0.96,0.64,0,4.48,1.28,0.64,9.92,0.96,0.96,2.56,1.28,0.64,0.32,0,0,0.32,0,0,1.92,0,0.32,0.96
22Month,1.09,0.55,2.73,0,0.55,0.55,0.55,2.73,1.09,0.55,8.2,0.55,0,1.09,0,0,0,0,0,0,1.64,0,0.55,0,0,1.09
