stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,8.17,0,0,0,16.35,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,1.07,1.07,2.14,0,14.98,2.14,1.07,0,0,1.07,0
21Day,0,2.68,1.34,6.69,1.34,4.02,9.37,18.74,1.34,48.19,4.02,9.37,2.68,1.34,0,4.02
