stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,2.68,0,1.34,0,0,0,25.43,0,1.34,0,0,1.34,0,2.68,0,0,0,0,2.68,1.34,0,0,1.34,0,0,0,0,0
3Month,0.32,0.96,1.28,6.72,0.96,0,2.56,2.56,0,482.8,1.6,0,8.32,1.6,4.48,0.96,2.88,0.64,0.64,1.92,2.56,0,0,0.64,0.64,5.12,1.6,0,0.96,2.24,3.52
22Month,0.55,1.64,0,4.37,2.73,0,0.55,0.55,1.09,799.21,0.55,0.55,2.73,0,0,3.28,1.64,0,20.77,1.09,0,0,0,1.09,2.19,0.55,0,0.55,0,0,0.55
