stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,4.09,8.17,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,7.49,1.07,0,0,0,0,0,0,0,0,0,8.56,0,0,0,44.93,3.21,4.28,1.07,0,0,0,0,0,0,0,0
21Day,0,9.37,0,1.34,0,0,0,0,0,0,1.34,0,4.02,1.34,2.68,0,34.8,2.68,1.34,6.69,2.68,0,1.34,1.34,0,0,0,1.34
3Month,1.28,6.4,0,0,0.32,0.96,0.96,0,0.96,0.32,1.28,0.64,1.6,0.32,0,0,0,0,0,0,0.32,1.92,0,0,0.64,0.64,0.32,0.64
22Month,0.55,3.83,0,0,0,0,3.28,0,7.11,0.55,1.64,0,1.09,1.09,1.64,0.55,0,0,1.64,0.55,0,1.09,0,0,0,0,0,0
