stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0
3Month,0.32,2.56,0.96,1.92,1.28,0.32,0.64,0.64,0.64,0.32,0.32,0,0,0.32,8,0.32,59.19
22Month,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,6.01,0,0
