stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,8.17,12.26,0,0,0,0,57.21,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,3.21,0,0,4.28,1.07,2.14,1.07,0,0,0,0,0,0,10.7,20.33,0,5.35,0,1.07,0,20.33,21.4,0,1.07,3.21,0,0,9.63,1.07,0,0,0,0
21Day,0,0,0,34.8,0,1.34,8.03,0,0,1.34,0,2.68,0,2.68,6.69,0,6.69,0,0,1.34,5.35,9.37,0,0,10.71,0,0,2.68,1.34,0,0,0,1.34
3Month,0,0,0.64,5.44,0,0,0,2.24,0.32,5.44,0,0,0.64,0,0.64,0.32,1.92,0.96,0,0.32,0.64,0,0,0,0,0.32,11.2,0,0,0,0.32,6.72,0.32
22Month,0,0.55,1.09,0,0,0,0,1.09,0,10.93,1.09,1.64,0,0,0.55,2.19,0,0,1.09,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0
