stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,3.21,3.21,0,0,0,0,0
21Day,1.34,1.34,0,0,0,0,0,5.35,0,0,0,4.02,0,2.68,1.34,0,1.34,0,8.03
3Month,0.64,0,0,0.64,0,2.56,0.32,0.32,1.6,0.32,0.32,0.32,0,0,0,5.12,0,1.28,1.28
22Month,1.09,0,0.55,0,1.09,9.84,0,0.55,1.09,0,1.09,2.19,0,0,0,0.55,0,0,0
