stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,2.68
3Month,0.32,0.64,0.32,0.32,0.64,0,0.32,0.32,0.32,1.92,0.32,0,0.32,7.36
22Month,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0
