stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
72hpf,4.28,1.07,1.07,1.07,1.07,0,1.07,0,0,29.95,0,0,7.49,2.14,3.21,0,1.07,0
21Day,1.34,1.34,0,1.34,0,0,0,1.34,0,29.45,1.34,0,9.37,0,0,0,1.34,2.68
3Month,0.32,0.32,0,4.48,0,0,0,0,0,0,0,0.32,0,0,0,0.32,0,0
22Month,0,0,0,3.83,0,0.55,0,0.55,0.55,0,0,0,0,0,0.55,0,0,0
