stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
3Month,0.32,1.28,0.96,3.2,0,0.32,0.64,2.88,0,7.36,1.92,0,5.12,0.32,1.92,2.88,1.92,0.32,0,0,0.96,0.64,0.32,0,0.64,1.28,0,0.32,0.32,5.12,1.6
22Month,0,1.09,2.73,5.47,0.55,0,3.28,14.76,2.73,59.04,1.09,0.55,7.65,0,1.64,3.83,7.11,0,3.28,0.55,0,1.09,0.55,0.55,0,0,0.55,0,0,0,5.47
