stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,4.02,1.34,0,0,1.34,4.02,4.02,16.06,0,1.34,0,2.68,0,1.34
3Month,0.64,0,1.6,1.28,0,0.32,0,2.24,0.64,0,0.32,0,0.32,0
22Month,0,0,1.64,0,0,0,0,0.55,0.55,0,0,0,0,0
