stage,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
21Day,0,0,0,0,2.68,0,0,0,0
3Month,0.32,0.64,0.32,0.32,0,0.32,0.32,0.32,5.76
