stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,159.37,0,0,0,0,0,0,0,40.86,0,0,0,0,16.35,0,0,8.17,0,0,0,0,0,89.9,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,85.58,1.07,8.56,0,0,0,0,0,0,0,0,0,2.14,469.64,26.74,0,9.63,0,2.14,0,0,48.14,40.65,2.14,0,0,5.35,13.91,0,1.07,0,0,0,0,0,0
21Day,14.72,4.02,24.09,287.78,1.34,18.74,0,0,30.79,6.69,0,0,5.35,0,8.03,247.63,12.05,37.48,8.03,20.08,0,0,76.3,0,40.16,28.11,20.08,0,0,10.71,34.8,0,13.39,2.68,4.02,1.34,0,0,8.03
3Month,3.2,11.2,46.39,698.13,0.96,0,13.12,1.6,1216.77,50.55,0.32,0,725.01,73.27,3.84,3162.38,102.06,58.23,50.55,72.31,17.6,2.56,663.25,16.96,15.04,3.52,82.87,5.44,0,1.92,45.75,0.32,192.29,2.88,0.32,0.96,17.28,150.06,44.79
22Month,9.29,55.21,123.54,470.12,0,0,12.57,2.19,692.61,176.02,59.59,0,1512.05,68.33,24.05,5269.2,36.08,40.45,92.38,168.37,4.37,73.25,546.11,3.28,22.96,12.03,114.8,20.77,42.09,5.47,8.2,0,100.04,17.49,9.29,1.09,3.83,0.55,47.01
