stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
72hpf,0,0,4.28,0,0,0,0,0,0,36.37,0,0,0,0,0,0,0,0,0,0
21Day,0,0,25.43,0,0,0,1.34,0,0,34.8,1.34,6.69,0,0,0,0,0,1.34,0,0
3Month,0,0,0,0,0,0.96,0,0,0.32,0,0,0.32,0,0,0.32,0,0,0,0.64,0.32
22Month,1.09,0.55,62.32,1.64,1.09,9.84,0,1.09,0,1.64,3.28,1.09,0.55,0.55,0,1.09,0.55,0,0,1.09
