stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,4.09,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,11.77,1.07,1.07,0,0,0,0,0,0,0,1.07,60.98,0,27.81,0,0,0,0,115.54,4.28,1.07,0,11.77,0,0,2.14,0,0,3.21,0,0,0
21Day,10.71,0,0,45.51,1.34,1.34,0,0,0,0,0,1.34,1.34,0,65.59,0,82.99,0,0,4.02,0,25.43,10.71,1.34,0,17.4,1.34,0,1.34,1.34,1.34,0,0,0,0
3Month,0,0,0,4.48,0.32,0,0.32,0,0,7.36,0.64,0,1.6,0.32,5.12,0.64,12.16,0.64,0,0.96,0.64,0,0,0,0,0,0.32,7.36,0.32,0,0,0,0,5.12,1.28
22Month,0,0.55,1.09,2.73,0,0,3.28,3.83,0,52.48,1.09,0,2.19,0,3.28,2.19,21.87,0,0.55,1.09,0,0.55,0,1.09,0.55,0,0,2.19,1.09,0,0,0,0.55,0,0
