stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,1.07,0,0,0,0
21Day,0,1.34,2.68,0,0,0,0,0,1.34,0,0,0,0,0,0,8.03,0,0,0,0
3Month,0.32,2.88,0,0.64,0,2.24,2.24,0.96,1.28,0.32,0.96,0.32,0,0,0.64,66.23,0.32,1.6,35.83,0.64
22Month,0,1.09,0,0.55,0.55,3.28,0,0,0,0,0.55,0.55,0,0.55,0,35.53,0,0,0,0
