stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,0,10.7,1.07,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,3.21,2.14,0,0,0,0,0,0,0,0
21Day,0,2.68,2.68,0,1.34,0,0,0,0,1.34,0,1.34,128.5,4.02,0,0,0,0,0,4.02,0,0,0,0,0,1.34,0,0,0
3Month,0,9.28,0.96,0,0,0.32,0.96,5.76,1.6,0.32,0.64,0.96,38.39,0.32,0.64,0.64,0,0.32,0.32,0.64,0,0.64,8.32,0.64,0.32,0,0.32,0.64,1.28
22Month,0.55,7.65,1.09,0,0,0.55,1.09,33.89,2.19,1.09,1.09,1.09,48.65,2.73,2.19,0.55,0.55,0.55,0,0.55,0,0.55,6.01,0,0,0,1.09,0,1.64
