stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,8.17,0,4.09,44.95,0,0,0
72hpf,0,0,0,0,0,0,0,1.07,2.14,7.49,0,0,0
21Day,1.34,0,0,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.64,0.32,0.32,0.96,0.32,0.32,0.96,0,0.64,0.96,0.96,0.64
22Month,0,1.09,0,7.65,0.55,0,0,0.55,0,0,1.64,0,0
