stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0,0.64,0,2.88,0.32,0,0.32,0,0.32,0,18.56,0,5.76,0.64
22Month,0.55,0.55,0.55,2.73,0,1.09,0.55,1.09,0.55,0.55,84.73,0.55,0,0
