stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,4.09,0,0,0,0,28.6,0,0,0,0,0,0
72hpf,1.07,0,2.14,1.07,3.21,0,0,0,0,0,0,2.14,1.07,0,3.21,0,0,0,94.14,31.02,2.14,0,3.21,0,1.07,0
21Day,1.34,0,0,0,1.34,0,0,0,1.34,1.34,0,0,4.02,0,10.71,0,1.34,0,60.23,6.69,5.35,0,0,2.68,0,0
3Month,0,0,3.2,0,0,0,0,2.24,0.32,0,1.28,0,0.64,0.64,0,0.32,0,0.32,15.68,0,0,1.92,0,0,0,0
22Month,0,0.55,2.19,0,0,2.73,0.55,38.27,2.73,0,1.64,0,0.55,0,0.55,0,1.09,0,7.65,0,0,0,0,0,0,0.55
