stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,0,6.42,0,2.14,0,0,0,0,0,0,0,3.21,6.42,2.14,23.54,0,1.07,1.07,0,448.24,46,7.49,6.42,21.4,0,0,8.56,0,0,0,0,0,0
21Day,6.69,0,8.03,2.68,6.69,0,0,0,0,4.02,0,1.34,0,6.69,2.68,68.27,0,0,5.35,0,175.35,9.37,2.68,10.71,2.68,8.03,1.34,2.68,1.34,2.68,0,0,0,0
3Month,0,0.64,3.52,0.32,0,0.32,0.64,1.6,0,2.56,1.92,0.32,0.32,3.52,0.96,11.2,4.16,0,0.64,0.32,2.88,0,2.24,2.56,0,0.64,48.31,0.32,0,0,0.64,1.6,6.4,0.96
22Month,0,0.55,2.73,0,0,0,0.55,0.55,0.55,16.4,0,3.28,0,1.64,1.09,13.12,0.55,1.09,0.55,0,4.92,0,3.28,1.64,0,0,30.61,1.64,0,0,0,0,0,0.55
