stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,5.35,0,0,10.71,5.35,0,0,0,0,0,0,24.09,1.34,0,0,1.34,5.35,0,0,0,4.02,0,0,2.68,1.34,0,0,0,0,1.34,2.68,0,0,124.48
3Month,0.32,2.88,0.64,24.32,0,8.96,4.16,11.2,0,19.52,11.84,7.68,18.88,1.92,9.92,16.32,14.4,0.96,0.64,1.6,2.56,0.64,0.96,0.64,8,0.32,20.16,0.32,0.64,0,0,8,12.48,1234.68
22Month,0,1.64,0,0.55,0,1.64,1.09,4.37,0.55,11.48,2.19,1.64,2.19,0,0.55,8.2,3.28,0,0,0,1.09,0,0,0,0,0,1.09,0.55,0,0,0,0,0,183.13
