stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
3Month,0.32,0.32,3.2,0.32,0.96,2.88,0.64,2.24,0.32,1.92,0.96,1.28,0.64,0,0.64,0.32,3.2,0.32,23.68,0.64
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.21,0,0,0
