stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,2.14,1.07,0,0,0,1.07,1.07,0,0
21Day,2.68,1.34,1.34,0,0,0,0,4.02,0,1.34,0,2.68,1.34,1.34,0,2.68,0,0,2.68,0,1.34,0,0,0
3Month,1.92,0,0,0,0,4.48,0.64,0,0.96,0.32,0.64,0,0,0,0.32,0,0.32,0,0,1.92,0,0,0.32,0.64
22Month,1.09,0,0,1.09,0.55,6.56,3.28,0.55,0,0,0.55,0.55,0,0.55,0,0,0,0.55,0,0,0,0,0,0
