stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,69.47,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,0
21Day,1.34,1.34,0,16.06,1.34,0,0,0,0,0,0,1.34,1.34,4.02,1.34,5.35,0,0,0,0,4.02,1.34,0,0,2.68,0,0,1.34,0,0,0,0
3Month,0,1.92,0.32,17.92,0,0.32,0.96,3.84,0,15.36,4.16,8,0.64,7.04,4.8,3.52,0.64,0,0.32,0.32,0,0,0.32,0,0.32,0.64,4.8,0,0.32,1.92,16,4.8
22Month,0,0.55,0,1.64,0,0.55,2.19,3.83,3.28,38.81,1.64,6.56,0,2.19,4.37,6.01,0,2.73,0,0,1.09,1.09,0.55,0.55,0.55,0,3.28,0,0,0,0,1.64
