stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,0,1.07,0,2.14,0,0,0,0,0,0,0,2.14,7.49,2.14,3.21,0,0,574.48,27.81,1.07,4.28,8.56,1.07,0,4.28,0,1.07,0,0,0
21Day,5.35,0,1.34,9.37,1.34,10.71,0,0,0,0,0,5.35,1.34,0,5.35,1.34,10.71,1.34,0,252.98,9.37,1.34,12.05,1.34,5.35,4.02,5.35,9.37,2.68,0,0,0
3Month,0,0,0.32,5.44,0,0,0.32,0.64,0,2.88,0.64,0,1.28,0,1.28,0.32,0.96,0,0.96,0.32,0,0.32,1.6,0,0.32,3.52,0,0,0,0.32,3.52,0.32
22Month,1.09,0.55,0,0.55,0,0,0,0.55,1.09,9.84,0,0,0.55,0,0,1.09,2.19,0,0,0,0,1.09,0,0,0.55,0,0,0,0,0,0,0.55
