stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0
72hpf,0,0,1.07,1.07,0,0,0,0,0,19.26,6.42,2.14,0,1.07,0,0
21Day,2.68,0,1.34,0,0,0,0,2.68,0,14.72,8.03,0,1.34,0,1.34,0
3Month,0,0,0.32,0,0.32,0.64,0,0,0.32,0,0.32,0,0,0,0,0.32
22Month,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0
